,Reviews,Labels,length
7,An excellent family movie... gives a lot to think on... There's absolutely nothing wrong in this film. Everything is just perfect. The script is great - it's so... real... such things could happen in everyone's life. And don't forget about acting - it's just awesome! Just look at Frankie and You'll know what I thought about... This picture is a real can't-miss!!!,1,365
17,My favorite movie. What a great story this really was. I'd just like to be able to buy a copy of it but this does not seem possible.,1,132
19,"Why did this movie fail commercially? It's got a sharp script (by Ron Shelton) and great performances by Kurt Russell and, especially, Robin Williams, in a brilliant manic nerd turn that's different from any of his other work. A great renter.",1,242
20,"I don't quite know how to explain ""Darkend Room,"" because to summarize it wouldn't really do it justice. It's a quintessentially Lynchian short film with two beautiful girls in a strange, mysterious situation. I would say this short is definitely more on the ""Mulholland Drive"" end of the Lynchian spectrum, as opposed to ""The Elephant Man"" or ""The Straight Story."" It's hidden on Lynch's website, and well worth the search.",1,424
30,"What a good film! Made Men is a great action movie with lots of twists and turns. James Belushi is very good as an ex hood who has stolen 12 million from the boss who has to fend of the gangsters , hillbillies his wife and the local sheriff( Timothy Dalton).you wont be disappointed, jump on board and enjoy the ride. 8 out of 10",1,329
40,Powers Booth is hypnotic as cult leader jim jones who led his Peoples Temple followers from 1953 until 1978 when he led them in a mass suicide in 1978 where over 900 died. A very well done movie which may seem a little dated due to the 70s time period but well worth the time 8 of 10,1,283
41,"I believe this is the most powerful film HBO Pictures has made to date. This film should have been released in theaters for the public to view on the big screen. It is available on video so make sure you look for it and check it out. Chris Gerolmo did a great job with the direction and the screenplay. The performances from Stephen Rea, Donald Sutherland and Jeffery DeMunn are flawless. A masterpiece of the genre.",1,416
83,i two came home from school fast as i could to catch HRpuff and stuff on t.v. that was the most fun time in my life is to watch HRpuff and stuff on t.v. growing up still love it today i am 46 years old. this year......,1,218
93,"Robin Williams does his best to combine comedy and pathos, but comes off a bit shrill. Donald Moffat is too one-note as his father-in-law. Jeff Bridges is excellent though as the quarterback, and Holly Palance and Pamela Reed are marvelous, carrying the film through most of its rough spots. It fills time nicely, but is little more than that.",1,343
97,"I thought that it was a great film for kids ages 6-12. A little sappy, but the story is uplifting an fresh. It proves that the dreams of an adolescent can truly come true. I think that it's a great story for any kid who is feelings down, or feels as if there trying to juggle too many things among them. Very 'cute' film. Bravo.",1,328
126,"One of the most unheralded great works of animation. Though it makes the most sophisticated use of the ""cut-out"" method of animation (a la ""South Park""), the real talent behind ""Twice Upon a Time"" are the vocal characterizations, with Lorenzo Music's (Carlton from TV's ""Rhoda"") Woody Allen-ish Ralph-the-all-purpose-Animal being the centerpiece. The ""accidental nightmare"" sequence is doubtless one of the best pieces of animation ever filmed.",1,444
132,"Being the prototype of the classical Errol Flynn adventure movie and having a good story as well as two more brilliant co-stars in Maureen O'Hara (what an exquisite beauty!) and Anthony Quinn, I can only recommend this movie to all those having even the slightest liking for romance and adventure.<br /><br />Hollywood at its best!",1,331
150,"Spoiler This movie is about such a concept. Williams will go to any low in order to replay the football game that haunts his life. Russel plays the ex jock who peaked in high school. Finally the under dog get its shot, and Williams can save face, instead of being the clown. A great reverse tragedy. 7/10",1,304
156,"The filmmaker inhaled Andy Goldsworthy's art, his search for closeness with the land and the water, and his sense of proportion -- and so gently, so beautifully breathed it back on to film for the rest of us. ""Rivers and Tides"" loves Goldsworthy's work and joins it as a visual concert of time and human presence in a flowing world, a world that hides its power in plain sight. See this movie!",1,393
165,"This movie i have been dying to see. Well it took till now to decide to actually rent it. It was completely worth it. This movie made me laugh from the beginning to the end. Chris Rock is funny no matter which movie he is in. However, this should come real close to being his greatest. If ur lookin for a family movie, ie pre-teens and up then this is one u can't pass over.",1,374
190,"For a mature man, to admit that he shed a tear over this film is a mature response, to a mature film.<br /><br />If one need admit more then perhaps one could say that, ""Life"" can never be the same, after viewing such advent for it has moved us to the next level.<br /><br />",1,275
207,"Magicians is a wonderful ride from start to finish, thanks in large part to the magic that is generated by the stars. Alan Arkin is fantastic in one of his best roles in decades. Like any really fine film, it's a journey in which the theme is redemption and the results of dreaming. I can't believe this film is SO difficult to find -- I'd buy it on DVD in a heartbeat but have yet to find an outlet.",1,400
212,Powers Boothe turns in a stellar performance as 1970's cult figure Jim Jones of the Peoples Temple. Jones physical likeness to Jones is uncanny and the story is acted out chillingly. The movie keeps you riveted and is a must see for anyone. check it out.,1,254
237,"Not the most successful television project John Cleese ever did, ""Strange Case"" has the feel of a first draft that was rushed into production before any revisions could be made. There are some silly ideas throughout and even a few clever ones, but the story as a whole unfortunately doesn't add up to much.<br /><br />Arthur Lowe is a hoot, though, as Dr. Watson, bionic bits and all. ""Good Lord.""",1,397
243,"This movie surprised me, it had good one-liners and laughs, + a nonstop action-packed storyline with tons of gun action and explosions. This movie surprisingly had a lot of good twists and turns. The plot is solid despite what others may think, it kept my interest the whole time right up till the very end. In conclusion; this is a great way for an action movie buff to spend time on.",1,385
251,"I find this movie the best movie I have ever seen, because it reflects the inner strength of a young girl during the second world war. The movie is impressive, not least because it actually happened. It reminds me of the story of Anne Frank.<br /><br />",1,253
254,"Excellent film. The whole picture was filmed in Budapest, so I feel proud. My little problem was that the trains in the film belonged to the Hungarian State Railways (MÁV), and it is plain to see that they were used in big train, not in the local railway - according to the story Chikatilo picked up his victims in local railway stations. Apart from this, the film is superb.",1,375
260,"This Film was really eye-opening. I have seen this film several times. First, when I was four and I actually remembered it and then when I was 12. The whole message that the director is conveying is for everyone to wake up and not make the mistake of leaving God out of our everyday lives or just Plain going the extra mile to insult him.<br /><br />A great Movie for Non-believers and Believers alike!",1,402
270,"This film is scary because you can find yourself relating to ideas they have and can recall other people saying and having simialr ideas make this a haunting well done movie.... the camra style is not shakey to point it draws you out of film like blair witch it only adds to the raw ""real"" feeling of the film that makes it.",1,324
275,"My fondness for Chris Rock varies with his movies,I hated him after Lethal Weapon 4,but I hated everyone in that movie after it.I like him when he is himself and not holding back,like in Dogma. Well this is his best yet,wasn't expecting this to be that good.Laughed my arse off the whole time. Chris Rock delivers a sweet wonderful story backed by some of the funniest comedy I've seen in quite some time. Loved it.",1,415
